ymbol,UpperPriceLimit,LowerPriceLimit,OutboundZoneMax,OutboundZoneMin,grid_step,grid_threshold,balance_min_size,out_of_range_SL,out_of_range_TP
BTC/USD,21100,19900,100000,10000,10,0.08,0.0001,-1,1
ETH/USD,1700,1450,3000,1000,10,0.08,0.001,-1,1
XRP/USD,0.51,0.45,2,0.1,10,0.08,1,-1,1
BNB/USD,356,315,400,150,10,0.08,0.01,-1,1
SOL/USD,34.5,30,50,10,10,0.08,0.01,-1,1
BTC-PERP,20000,15000,100000,10000,1,0.08,0.0001,-1,1
ETH-PERP,1800,1000,3000,500,1,0.08,0.001,-1,1
XRP-PERP,0.6,0.2,2,0.1,1,0.08,1,-1,1
BNB-PERP,300,180,350,150,1,0.08,0.01,-1,1
SOL-PERP,38,24,50,10,1,0.08,0.01,-1,1
